#YYYY MM DD HH MM P(mm) PET(mm)
2009  5  8  6 45 0.00000 0.00000
2009  5  8  7  0 0.00000 0.00000
2009  5  8  7 15 0.00000 0.00000
2009  5  8  7 30 0.00000 0.00000
2009  5  8  7 45 0.00000 0.00000
2009  5  8  8  0 0.00000 0.00000
2009  5  8  8 15 0.00000 0.00000
2009  5  8  8 30 0.00000 0.00000
2009  5  8  8 45 0.00000 0.00000
2009  5  8  9  0 0.00000 0.00000
2009  5  8  9 15 0.00000 0.00000
2009  5  8  9 30 0.00000 0.00000
2009  5  8  9 45 0.00000 0.00000
2009  5  8 10  0 0.00000 0.00000
2009  5  8 10 15 0.00000 0.00000
2009  5  8 10 30 0.00000 0.00000
2009  5  8 10 45 0.00000 0.00000
2009  5  8 11  0 0.00000 0.00001
2009  5  8 11 15 0.00000 0.00003
2009  5  8 11 30 0.00000 0.00004
2009  5  8 11 45 0.00000 0.00005
2009  5  8 12  0 0.00000 0.00299
2009  5  8 12 15 0.00000 0.00592
2009  5  8 12 30 0.00000 0.00885
2009  5  8 12 45 0.00000 0.01178
2009  5  8 13  0 0.00000 0.01605
2009  5  8 13 15 0.00000 0.02031
2009  5  8 13 30 0.00000 0.02457
2009  5  8 13 45 0.00000 0.02884
2009  5  8 14  0 0.00000 0.03598
2009  5  8 14 15 0.00000 0.04313
2009  5  8 14 30 0.00000 0.05028
2009  5  8 14 45 0.00000 0.05743
2009  5  8 15  0 0.00000 0.06397
2009  5  8 15 15 0.00000 0.07052
2009  5  8 15 30 0.00000 0.07707
2009  5  8 15 45 0.00000 0.08362
2009  5  8 16  0 0.00000 0.08008
2009  5  8 16 15 0.00000 0.07654
2009  5  8 16 30 0.00000 0.07300
2009  5  8 16 45 0.00000 0.06946
2009  5  8 17  0 0.00000 0.08234
2009  5  8 17 15 0.00000 0.09523
2009  5  8 17 30 0.00000 0.10812
2009  5  8 17 45 0.00000 0.12101
2009  5  8 18  0 0.00000 0.11872
2009  5  8 18 15 0.15094 0.11644
2009  5  8 18 30 0.00000 0.11416
2009  5  8 18 45 0.00000 0.11188
2009  5  8 19  0 0.00000 0.12332
2009  5  8 19 15 0.00000 0.13476
2009  5  8 19 30 0.05660 0.14620
2009  5  8 19 45 0.00000 0.15764
2009  5  8 20  0 0.00000 0.14558
2009  5  8 20 15 0.00000 0.13352
2009  5  8 20 30 0.00000 0.12146
2009  5  8 20 45 0.00000 0.10940
2009  5  8 21  0 0.00000 0.08516
2009  5  8 21 15 0.00000 0.06093
2009  5  8 21 30 0.00000 0.03669
2009  5  8 21 45 0.00000 0.01245
2009  5  8 22  0 0.00000 0.01173
2009  5  8 22 15 0.00000 0.01101
2009  5  8 22 30 0.00000 0.01030
2009  5  8 22 45 0.00000 0.00958
2009  5  8 23  0 0.00000 0.01059
2009  5  8 23 15 0.00000 0.01159
2009  5  8 23 30 0.00000 0.01260
2009  5  8 23 45 0.00000 0.01360
2009  5  9  0  0 0.00000 0.01054
2009  5  9  0 15 0.00000 0.00747
2009  5  9  0 30 0.00000 0.00440
2009  5  9  0 45 0.00000 0.00134
2009  5  9  1  0 0.00000 0.00100
2009  5  9  1 15 0.00000 0.00067
2009  5  9  1 30 0.00000 0.00033
2009  5  9  1 45 0.00000 0.00000
2009  5  9  2  0 0.00000 0.00000
2009  5  9  2 15 0.00000 0.00000
2009  5  9  2 30 0.00000 0.00000
2009  5  9  2 45 0.00000 0.00000
2009  5  9  3  0 0.00000 0.00000
2009  5  9  3 15 0.00000 0.00000
2009  5  9  3 30 0.00000 0.00000
2009  5  9  3 45 0.00000 0.00000
2009  5  9  4  0 0.00000 0.00000
2009  5  9  4 15 0.00000 0.00000
2009  5  9  4 30 0.00000 0.00000
2009  5  9  4 45 0.00000 0.00000
2009  5  9  5  0 0.00000 0.00000
2009  5  9  5 15 0.00000 0.00000
2009  5  9  5 30 0.00000 0.00000
2009  5  9  5 45 0.00000 0.00000
2009  5  9  6  0 0.00000 0.00000
2009  5  9  6 15 0.00000 0.00000
2009  5  9  6 30 0.00000 0.00000
2009  5  9  6 45 0.00000 0.00000
2009  5  9  7  0 0.00000 0.00000
2009  5  9  7 15 0.00000 0.00000
2009  5  9  7 30 0.00000 0.00000
2009  5  9  7 45 0.00000 0.00000
2009  5  9  8  0 0.00000 0.00000
2009  5  9  8 15 0.00000 0.00000
2009  5  9  8 30 0.00000 0.00000
2009  5  9  8 45 0.00000 0.00000
2009  5  9  9  0 0.00000 0.00000
2009  5  9  9 15 0.00000 0.00000
2009  5  9  9 30 0.00000 0.00000
2009  5  9  9 45 0.00000 0.00000
2009  5  9 10  0 0.00000 0.00000
2009  5  9 10 15 0.00000 0.00000
2009  5  9 10 30 0.00000 0.00000
2009  5  9 10 45 0.00000 0.00000
2009  5  9 11  0 0.00000 0.00003
2009  5  9 11 15 0.00000 0.00006
2009  5  9 11 30 0.00000 0.00009
2009  5  9 11 45 0.00000 0.00012
2009  5  9 12  0 0.00000 0.00234
2009  5  9 12 15 0.00000 0.00456
2009  5  9 12 30 0.00000 0.00678
2009  5  9 12 45 0.00000 0.00900
2009  5  9 13  0 0.00000 0.01447
2009  5  9 13 15 0.00000 0.01994
2009  5  9 13 30 0.00000 0.02541
2009  5  9 13 45 0.00000 0.03088
2009  5  9 14  0 0.00000 0.03967
2009  5  9 14 15 0.00000 0.04846
2009  5  9 14 30 0.00000 0.05725
2009  5  9 14 45 0.00000 0.06604
2009  5  9 15  0 0.00000 0.07113
2009  5  9 15 15 0.00000 0.07622
2009  5  9 15 30 0.00000 0.08130
2009  5  9 15 45 0.00000 0.08639
2009  5  9 16  0 0.00000 0.08435
2009  5  9 16 15 0.00000 0.08231
2009  5  9 16 30 0.00000 0.08027
2009  5  9 16 45 0.00000 0.07824
2009  5  9 17  0 0.00000 0.08665
